Date,Open,High,Low,Close,,Date,
31-Dec-20,"3,723.98","3,723.98","3,664.69","3,673.63",,12/31/2020,31-Dec-20
30-Dec-20,"3,750.91","3,761.56","3,722.67","3,723.98",,12/30/2020,30-Dec-20
29-Dec-20,"3,692.84","3,786.12","3,692.84","3,750.91",,12/29/2020,29-Dec-20
28-Dec-20,"3,692.84","3,692.84","3,692.84","3,692.84",,12/28/2020,28-Dec-20
25-Dec-20,"3,692.84","3,692.84","3,692.84","3,692.84",,12/25/2020,25-Dec-20
24-Dec-20,"3,681.19","3,704.99","3,679.55","3,692.84",,12/24/2020,24-Dec-20
23-Dec-20,"3,649.62","3,681.66","3,639.68","3,681.19",,12/23/2020,23-Dec-20
22-Dec-20,"3,624.30","3,651.37","3,611.40","3,649.62",,12/22/2020,22-Dec-20
21-Dec-20,"3,689.82","3,689.82","3,568.37","3,624.30",,12/21/2020,21-Dec-20
18-Dec-20,"3,705.28","3,728.23","3,685.00","3,689.82",,12/18/2020,18-Dec-20
17-Dec-20,"3,707.68","3,723.97","3,702.55","3,705.40",,12/17/2020,17-Dec-20
16-Dec-20,"3,673.28","3,720.20","3,673.28","3,707.68",,12/16/2020,16-Dec-20
15-Dec-20,"3,678.41","3,692.65","3,656.21","3,673.28",,12/15/2020,15-Dec-20
14-Dec-20,"3,680.43","3,708.76","3,670.76","3,678.41",,12/14/2020,14-Dec-20
11-Dec-20,"3,708.98","3,710.78","3,666.58","3,680.43",,12-Nov-20,11-Dec-20
10-Dec-20,"3,697.66","3,728.45","3,686.87","3,708.98",,12-Oct-20,10-Dec-20
09-Dec-20,"3,695.13","3,728.55","3,695.13","3,697.66",,12-Sep-20,09-Dec-20
08-Dec-20,"3,695.80","3,699.50","3,675.56","3,695.13",,12-Aug-20,08-Dec-20
07-Dec-20,"3,702.27","3,720.95","3,677.81","3,695.80",,12-Jul-20,07-Dec-20
04-Dec-20,"3,672.88","3,708.13","3,672.59","3,702.27",,12-Apr-20,04-Dec-20
03-Dec-20,"3,651.32","3,672.94","3,636.11","3,672.88",,12-Mar-20,03-Dec-20
02-Dec-20,"3,614.17","3,654.44","3,604.21","3,651.32",,12-Feb-20,02-Dec-20
01-Dec-20,"3,542.87","3,618.52","3,541.65","3,614.17",,12-Jan-20,01-Dec-20
30-Nov-20,"3,593.68","3,614.16","3,542.87","3,542.87",,11/30/2020,30-Nov-20
27-Nov-20,"3,589.04","3,593.68","3,555.46","3,593.68",,11/27/2020,27-Nov-20
26-Nov-20,"3,607.81","3,619.48","3,581.04","3,589.04",,11/26/2020,26-Nov-20
25-Nov-20,"3,633.35","3,649.81","3,601.47","3,607.81",,11/25/2020,25-Nov-20
24-Nov-20,"3,582.28","3,634.05","3,582.28","3,633.35",,11/24/2020,24-Nov-20
23-Nov-20,"3,586.51","3,610.70","3,576.84","3,582.28",,11/23/2020,23-Nov-20
20-Nov-20,"3,578.41","3,605.62","3,573.34","3,586.51",,11/20/2020,20-Nov-20
19-Nov-20,"3,607.59","3,607.59","3,569.93","3,578.41",,11/19/2020,19-Nov-20
18-Nov-20,"3,591.59","3,613.01","3,573.32","3,607.61",,11/18/2020,18-Nov-20
17-Nov-20,"3,619.49","3,622.73","3,563.28","3,591.59",,11/17/2020,17-Nov-20
16-Nov-20,"3,560.25","3,641.66","3,560.25","3,619.49",,11/16/2020,16-Nov-20
13-Nov-20,"3,569.99","3,571.10","3,539.88","3,560.25",,11/13/2020,13-Nov-20
12-Nov-20,"3,590.16","3,590.16","3,549.17","3,569.99",,11-12-20,12-Nov-20
11-Nov-20,"3,541.82","3,598.01","3,539.89","3,590.16",,11-11-20,11-Nov-20
10-Nov-20,"3,485.27","3,547.10","3,483.13","3,541.82",,11-10-20,10-Nov-20
09-Nov-20,"3,326.65","3,518.02","3,326.65","3,485.27",,11-09-20,09-Nov-20
06-Nov-20,"3,324.36","3,347.77","3,301.33","3,326.65",,11-06-20,06-Nov-20
05-Nov-20,"3,309.12","3,338.89","3,309.12","3,324.36",,11-05-20,05-Nov-20
04-Nov-20,"3,254.88","3,309.13","3,216.59","3,309.13",,11-04-20,04-Nov-20
03-Nov-20,"3,184.55","3,254.90","3,184.55","3,254.88",,11-03-20,03-Nov-20
02-Nov-20,"3,151.27","3,189.15","3,137.63","3,184.55",,11-02-20,02-Nov-20
30-Oct-20,"3,152.13","3,158.77","3,126.31","3,151.27",,10/30/2020,30-Oct-20
29-Oct-20,"3,155.25","3,170.76","3,130.33","3,152.13",,10/29/2020,29-Oct-20
28-Oct-20,"3,233.99","3,233.99","3,127.07","3,155.25",,10/28/2020,28-Oct-20
27-Oct-20,"3,271.08","3,277.26","3,233.43","3,233.99",,10/27/2020,27-Oct-20
26-Oct-20,"3,310.38","3,313.42","3,270.36","3,271.08",,10/26/2020,26-Oct-20
23-Oct-20,"3,268.54","3,320.79","3,267.34","3,310.38",,10/23/2020,23-Oct-20
22-Oct-20,"3,261.20","3,273.37","3,230.89","3,268.54",,10/22/2020,22-Oct-20
